Count, Time (ms), RSSI (dBm), Frequency (KHz), Timestamp (ms), EPC, Phase (Degrees)
284,199252,-59,926800,665,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
285,199512,-60,924600,926,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
286,206681,-59,922400,134,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
287,206811,-59,925800,264,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
288,206892,-59,924200,346,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
289,210801,-59,925000,274,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
290,213745,-52,922400,237,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
291,213859,-50,920600,352,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
292,213893,-52,924200,385,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
293,213924,-56,918000,418,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
294,213994,-58,920000,487,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
295,214501,-59,921200,997,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
296,214525,-59,926800,21,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
297,215421,-59,920400,923,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
298,215461,-58,925800,964,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
299,215506,-56,920600,999,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
300,215514,-56,924200,11,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
301,215543,-56,918000,46,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
302,215577,-50,927200,80,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
303,215613,-50,920000,116,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
304,215647,-52,921400,149,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
305,233895,-62,924000,495,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
